Entidad federativa,inmigrante,emigrante,neto,pob_total
Aguascalientes,276430,144612,131818,1425607
Baja California,1463949,211540,1252409,3769020
Baja California Sur,313283,42130,271153,798447
Campeche,199443,141018,58425,928363
Coahuila de Zaragoza,398612,438541,-39929,3146771
Colima,193703,114254,79449,731391
Chiapas,174961,678362,-503401,5543828
Chihuahua,561040,259407,301633,3741869
Ciudad de México,1679063,4955432,-3276369,9209944
Durango,210697,464734,-254037,1832650
Guanajuato,557773,646602,-88829,6166934
Guerrero,195093,966482,-771389,3540685
Hidalgo,609940,654244,-44304,3082841
Jalisco,1067778,841477,226301,8348151
México,5190562,1344291,3846271,16992418
Michoacán de Ocampo,433109,953793,-520684,4748846
Morelos,500693,220687,280006,1971520
Nayarit,252605,244381,8224,1235456
Nuevo León,1319964,268647,1051317,5784442
Oaxaca,293054,1030645,-737591,4132148
Puebla,660918,1080205,-419287,6583278
Querétaro,686545,211297,475248,2368467
Quintana Roo,945101,88963,856138,1857985
San Luis Potosí,294725,684423,-389698,2822255
Sinaloa,312601,656351,-343750,3026943
Sonora,425906,284860,141046,2944840
Tabasco,210156,446038,-235882,2402598
Tamaulipas,764320,526943,237377,3527735
Tlaxcala,210269,211661,-1392,1342977
Veracruz de Ignacio de la Llave,762798,1990971,-1228173,8062579
Yucatán,269765,305166,-35401,2320898
Zacatecas,177107,503806,-326699,1622138